Country name,Ladder score,upperwhisker,lowerwhisker,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual
Iceland,1.9381038750960362,1.9442788373639623,1.9319070667980438,1.3543453798737128,1.5832345159627872,1.3331254222131037,1.3933474307381253,1.7194390036474538,0.6673010141575223,0.9001111478630308
Israel,1.756915153047605,1.7315537679847577,1.7805061002074603,1.1518636446606285,1.2371753571839548,1.4778545726044925,0.09630650331869021,0.15161822382635023,0.8002475598805515,1.462851980828459
Netherlands,1.7352512841070316,1.709582164574699,1.7601252008587278,1.4062637735180934,1.0674732697058738,1.2541822492723462,0.7083932331121314,1.5551911124281,2.9636504402825707,0.5733584061411697
Australia,1.477254299451114,1.4678945270640533,1.4854683191591425,1.2842555484537992,1.0641457777945393,1.1620818808414624,0.9342823833930446,1.2266953299893928,2.371434009334532,0.20803068796603358
Costa Rica,1.3768127252720923,1.3780106949319952,1.3757996702826303,0.523651081563624,0.7713264895970656,0.9581453507445061,1.2330390015065102,-0.5053733410510645,-0.04577591290236115,1.5422710499969674
Kuwait,1.3728738400101694,1.3869990781452004,1.3593008470003227,1.2608922713138278,0.7413790623950517,0.9581453507445061,1.4516414050041675,0.8534046681272254,0.5464405180456775,0.5234378483781076
Austria,1.3275766594980623,1.3130945939477305,1.3408609856848026,1.3647290586025889,0.6482092888776737,1.188396271821715,0.5480848038805157,1.0624474387700389,2.1538851163332113,0.25568212946713814
Canada,1.3226530529206593,1.311097175455907,1.3321263145353464,1.2479126729027328,1.0574907939718694,1.2212892605470305,0.7448269670284078,1.3013534623618264,2.9153062418378326,-0.18452642535259153
Belgium,1.3167447250277755,1.2881268627999372,1.3437725427346217,1.3205984240048656,0.9942684476565055,1.1489246853513362,0.7375402202451525,0.4054558738926244,2.2264014140003185,0.07415282851054839
Czechia,1.245844790313172,1.2302017265370544,1.260307907306479,1.099945251016248,1.2305203733612848,0.8068376026080543,1.1601715336739578,0.5099772592140309,-0.7105086415175067,0.4644408255672164
Lithuania,1.241905905051249,1.2232107618156725,1.2583668692732666,1.0558146164185247,1.0408533344151945,0.5436936928055291,-0.6906621492728773,-1.4759290618927,-0.13037826018065232,1.4832740271860752
United Kingdom,1.1739601342830877,1.1602920793232319,1.1865484620444,1.2011861186227903,0.6149343697643245,1.0305099259402006,0.6209522717130683,1.8538236419178342,2.709843398447697,-0.12552940254169984
Slovenia,1.1680518063902046,1.1702791717823493,1.165197043679061,1.1077330100629053,1.200572946159271,1.1818176740766517,1.1747450272404683,0.2113447297242971,0.050912483987114655,0.06734547972467653
United Arab Emirates,1.158204593235398,1.1503049868641144,1.165197043679061,1.6191291874600537,0.07588068012806633,0.31344277172831964,1.3642004436051043,0.9877893063976053,1.5858407846075417,0.1989542229182041
United States,1.150326822711553,1.1453114406345548,1.1535508154797858,1.5049087214424164,0.8345488359124289,0.17529221908199466,-0.30446456976034925,1.1968320770404193,0.5101823692121245,0.4984775694965767
Germany,1.1444184948186702,1.1423153128968204,1.1448161443303286,1.3283861830515225,0.8278938520897591,1.2278678582920937,0.5262245635307499,0.4651823797905708,2.9153062418378326,-0.3184042848080767
Mexico,1.104044920883965,1.1083591985358199,1.0992017505498326,0.41981429427486283,0.33209755730085605,0.18844941457212092,0.6865329927623657,-0.8488007499642587,0.0025682855423767516,1.778259141240533
Uruguay,1.0380685927467646,1.0234689126333205,1.0526168377527296,0.6145082704412903,0.9643210204544914,0.5042221063351503,1.0727305722748945,-0.5501682204745246,1.126570899382532,0.5393216622118094
France,1.0360991501158034,1.012483110928291,1.0584399518523677,1.1908024398939143,0.6881391918136929,1.3923328019186718,0.16188722436798758,-0.46057846162760435,1.8638199256647847,0.04238520084314518
Saudi Arabia,1.0213283303835947,1.03445471433835,1.0070024439722336,1.253104512267171,0.7313965866610466,-0.028644311014962294,1.1601715336739578,-0.43071520867863095,0.7398173118246292,0.31014091975411506
Kosovo,0.9888325269727345,0.9945063445018796,0.9827394685570755,0.012254904166476108,0.45188726610891267,0.5502722905505922,0.8104076880777051,1.659712497749507,-0.6500783934615845,1.3652799815642918
Taiwan Province of China,0.9317186906748597,0.924596697288057,0.9390661128097918,1.253104512267171,0.681484207991023,0.8857807755488117,0.1546004775847323,-1.117570026505019,0.9090220063812118,0.21256892048994833
Romania,0.9199020348890921,0.9196031510584975,0.9196557324776652,0.88188799770985,0.31546009774418104,0.4450147266295822,0.6500992588460893,-1.52072394131616,-1.4598437174109435,1.2631697497762102
El Salvador,0.8982381659485195,0.9265941157798804,0.8691887436141376,-0.24474114437320807,-0.2036286404240668,0.22134240329743657,1.3714871903883594,-0.8935956293877186,1.5254105365516193,1.7487606298350875
Poland,0.871650690430543,0.8407051206314688,0.9002453521455395,0.9831288653163919,0.9177361336958024,0.8134162003531173,-0.20245011479477554,-0.923458882336692,0.5826986668792309,0.3124100360160722
Spain,0.8509715428054504,0.8297193189264394,0.8701592626307442,1.0558146164185247,1.0974206969078886,1.4054899974087982,-0.06400192591292557,-0.3560570763061976,0.6068707661015998,-0.2571381457352274
Serbia,0.8411243296506438,0.849693503844675,0.8323090209830977,0.46394492887258665,0.8312213440010944,0.4581719221197084,0.256614932550306,0.8534046681272254,-0.31166900434841927,0.6323554289520614
Chile,0.7909035425611337,0.775789019647205,0.8061050075347272,0.6664266640856709,0.758016521951726,1.0370885236852636,0.16917397115124283,-0.3859203292551708,-0.6259062942392155,0.4644408255672164
Panama,0.7889340999301718,0.8167360987295866,0.7614611327708377,0.8896757567565068,0.8345488359124289,0.7739446138827386,0.6719594991958552,-1.1922281588774526,-1.0126598817971184,0.34644677994543305
Malta,0.7771174441444051,0.7578122532207927,0.794458779335452,1.2141657170338853,1.0075784153018452,1.2607608470174094,0.7229667266786419,1.5999859918515602,-0.0216038136799922,-0.8766068852495897
Italy,0.7554535752038315,0.7638045086962635,0.7459328285051368,1.1440758856139717,0.6215893535869943,1.3462826177032299,-0.8363970849379826,-0.46057846162760435,-0.6379923438503999,0.280642408348669
Guatemala,0.7190188865310493,0.7847774028604103,0.6547040409441436,-0.25772074278430296,0.09251813968474133,-0.3181026117977396,0.781260700944684,-0.5650998469490114,-0.5896481454056621,1.8599473266709985
Nicaragua,0.7160647225846074,0.7608083809585281,0.672173383243057,-0.6808556509860044,0.40530237935022373,0.17529221908199466,1.2038920143734892,-0.1470143056633836,1.5012384373292504,1.2472859359425084
Brazil,0.7042480667988406,0.7178638833843224,0.6906132445585769,0.18358560319293146,0.42526733081823326,0.21476380555237343,0.41692336178192174,-0.19180918508684375,0.18385902971014356,0.940955240578264
Slovakia,0.6894772470666309,0.6599387471214405,0.717787777023554,0.9000594354853829,1.3270176387899981,0.8068376026080543,-0.45019950542545445,-0.6994844852193915,-0.8313691376293514,-0.000728008134044639
Latvia,0.6668286568105775,0.6419619806950291,0.6915837635751836,0.8844839173920688,1.2205378976272805,0.3200213694733828,0.2784751729000718,-0.23660406451030389,-0.5896481454056621,-0.14368233263735883
Uzbekistan,0.6284245255068341,0.6309761789899996,0.6255884704459541,-0.38232488753081634,0.8412038197350987,0.1555564258468053,1.5099353792702095,1.614917618326047,1.0661406513266096,0.21710715301386307
Argentina,0.6215314762984694,0.633972306727735,0.6090896471636474,0.5262470012458433,0.7979464248877451,0.4581719221197084,0.3877763746489007,-0.8338691234897719,-0.5654760461832932,0.36006147751717726
Kazakhstan,0.6215314762984694,0.6060084478422053,0.6352936606120179,0.6820021821789851,1.0508358101491995,0.2673925875128785,0.7666872073781735,0.0918917179284034,-0.08203406173591458,-0.2321778668536966
Cyprus,0.5033649184407969,0.5101323602346772,0.4965094412373153,1.1285003675206575,0.2522377514288178,1.504168963584745,-0.7198091364058984,-0.281398943933764,-0.9401435841300115,-0.09603089113625426
Japan,0.49548714791695214,0.4721814088900302,0.5178608596026543,1.1077330100629053,0.7081041432817025,1.7738914711323333,0.03072578226939285,-1.7894932178569207,1.1144848497713475,-0.890221582821334
South Korea,0.49351770528599115,0.4761762458736768,0.5100967074698038,1.1830146808472568,0.12246556688675529,1.6752125049563864,-0.5303537200412616,-0.2515356909847906,0.3772358234890952,-0.44774391173964667
Philippines,0.4836704921311853,0.4941530123000891,0.4722464658221581,-0.3304064938864357,0.015985825724037638,-0.48914615316938087,1.4443546582209121,-0.6546896057959314,0.11134273204303703,1.1655977505120432
Vietnam,0.4787468855537824,0.4661891534145594,0.49068632713767807,-0.07341044534675215,0.41861234699556343,0.1555564258468053,1.5682293535362517,-0.729347738168365,0.40140792271146414,0.35552324499326254
Portugal,0.46594550845253463,0.46219431643091285,0.46836438975573247,0.9571696684942016,0.7546890300403915,1.2081320650569043,0.9415691301762998,-1.4311341824692398,-1.109348278686594,-0.5816217711951314
Hungary,0.4531441313512869,0.4522072239717946,0.4538066045066382,0.9415941504008875,1.287087735853979,0.5305364973154029,-0.34089830367662555,-0.2963305704082507,-0.7225946911286911,-0.5748144224092595
Paraguay,0.41375527873206275,0.41325756338123626,0.4130448058091734,0.10051617336192252,0.8877887064937877,0.22134240329743657,1.167458280457213,-0.17687755861235702,-0.7467667903510601,-0.03703386832536259
Thailand,0.4127705574165818,0.4222459465944425,0.4033396156431097,0.323765266032759,0.6848116999023576,0.6884228431969179,0.9342823833930446,2.092729665509621,-1.2422948244096232,-0.4318600979059448
Malaysia,0.4117858361011009,0.4062665986598543,0.41692688187559823,0.7443042545522413,0.006003349990033226,0.1621350235918684,1.466214898570678,1.2416269564638795,-0.09412011134709906,-0.4091689352863711
China,0.40981639347013993,0.38928854147935404,0.42954362909148014,0.3575122219016067,0.3254425734781862,0.747630222902486,0.555371550663771,-0.1619459321378703,0.44975212115620206,-0.10283823992212612
Honduras,0.404892786892737,0.4422201315126772,0.36840093104528304,-0.6964311690793186,-0.35336577643413886,-0.08785169072053045,0.6719594991958552,0.4801140062650575,-0.5533899965721086,1.612613654117645
Bahrain,0.39603029505341125,0.48116979210323546,0.3140518661153298,0.18747948271626014,0.3204513356111836,0.2246317021699685,0.09630650331869021,-0.0947536130026801,-0.07599103693032234,-0.02001549636068268
Croatia,0.37929003269024153,0.3753066120365892,0.38295871629437733,0.910443114214259,1.0109059072131805,0.8002590048629911,-1.157013943401214,-1.177296532402966,-1.0126598817971184,-0.17998819282867679
Greece,0.37141226216639667,0.35533242711835444,0.3858702733441964,0.8429492024765644,0.44855977419757814,1.188396271821715,-2.1188645187909074,-1.864151350229354,-0.4083574012378951,0.40090557023240997
Bosnia and Herzegovina,0.31528314718400197,0.30739438331459,0.3227865372647869,0.2744427920705978,0.5883144344736451,0.4713291176098347,-0.04942843234641504,1.5402594859536134,-1.5323600150780503,-0.030226519539490727
Libya,0.30445121271371517,0.31538405728188407,0.29464148578320404,0.43279389268595825,-0.13707880219736826,0.22792100104249968,-0.26074408906081764,-0.47551008810209106,0.9331941056035804,0.298795338444328
Jamaica,0.2808179011421807,0.38729112298753077,0.17623816575723383,-0.20580234913992235,0.6082793859416546,0.33975716270857215,0.14002698401822178,-0.8040058705407985,-1.1939506259648853,0.5756275224031273
Peru,0.27983317982670064,0.27443697819950164,0.28493629561714034,0.030426341942009025,0.12912055070942516,0.9647239484895693,-0.09314891304594661,-0.9682537617601522,-1.1818645763537008,0.5756275224031273
Dominican Republic,0.26210819614805,0.29540987236364846,0.2296167116705813,0.4094306155459867,0.43524980655223844,-0.028644311014962294,0.7448269670284078,-0.8488007499642587,0.8365057087141049,-0.32067340107003384
Mauritius,0.2552151469396852,0.2554615025271781,0.2558207251189517,0.5470143587035956,0.7214141109270421,-0.16679486366128798,0.09630650331869021,-0.2963305704082507,-0.10620616095828353,-0.30932781976024726
Moldova,0.2552151469396852,0.2584576302649135,0.25193864905252605,0.06676921749307543,0.45188726610891267,0.17529221908199466,0.48979082961447357,-0.9831853882346389,-1.0005738321859339,0.3214865010639017
Russia,0.22468878615978682,0.18754927380517888,0.2616438392185889,0.7339205758233651,0.6981216675476973,0.10292764388630027,-0.5595007071742826,-0.07235617329095004,-0.0699480121247301,-0.4590894930494333
Bolivia,0.22370406484430588,0.2235028066580018,0.22476411658754988,-0.3693452891197209,0.1257930587980906,-0.17995205915141424,0.6646727524125998,-0.6397579793214447,-0.795110988795798,0.8320376600043101
Ecuador,0.16560550723095016,0.17856089059197272,0.15197519034207665,-0.11494516026225661,0.03262328528071264,0.8199947980981804,-0.158729634095244,-0.8338691234897719,-0.5896481454056621,0.4372114304237279
